EXPEDIENTE,DATETIME,CALLE,CALLEWIKIDATA,NUMERO,DISTRITO,TIPOACCIDENTE,TIEMPO,TIPOVEHICULO,VICTIMA,TIPOPERSONA,RANGOEDAD,SEXO,LESIVIDAD
2021S000047,2021-01-01T11:38:00ZZ,CALLE_JOSE_BERGAMIN,,62,Moratalaz,Caída,Despejado,Bicicleta,10001,Conductor,De 45 a 49 años,Hombre,2
2021S000142,2021-04-01T11:30:00ZZ,WANDA_METROPOLITANO,,1,San_Blas,Caída,Despejado,Bicicleta,10002,Conductor,De 15 a 17 años,Hombre,14
2021S000142,2021-04-01T11:30:00ZZ,WANDA_METROPOLITANO,,1,San_Blas,Caída,Despejado,Bicicleta,10003,Conductor,De 18 a 20 años,Hombre,14
2021S000142,2021-04-01T11:30:00ZZ,WANDA_METROPOLITANO,,1,San_Blas,Caída,Despejado,Bicicleta,10004,Conductor,De 21 a 24 años,Hombre,14
2021S000142,2021-04-01T11:30:00ZZ,WANDA_METROPOLITANO,,1,San_Blas,Caída,Despejado,Bicicleta,10005,Conductor,De 50 a 54 años,Hombre,6
2021S000204,2021-05-01T16:35:00ZZ,Plaza_del_Emperador_Carlos_V,https://wikidata.org/entity/Q7203711,11,Centro,Colisión fronto-lateral,Despejado,Bicicleta,10006,Conductor,De 18 a 20 años,Hombre,
2021S000225,2021-04-01T10:40:00ZZ,Paseo_del_Prado,https://wikidata.org/entity/Q2079615,11,Retiro,Alcance,Despejado,Bicicleta,10007,Conductor,De 40 a 44 años,Hombre,7
2021S000511,2021-01-16T18:50:00ZZ,Avenida_de_la_Ciudad_de_Barcelona_Madrid,https://wikidata.org/entity/Q5714227,144,Retiro,Alcance,Despejado,Bicicleta,10008,Conductor,De 21 a 24 años,Hombre,3
2021S000675,2021-01-18T22:42:00ZZ,Ronda_de_Valencia,https://wikidata.org/entity/Q16626200,5,Arganzuela,Alcance,Despejado,Bicicleta,10009,Conductor,De 25 a 29 años,Hombre,1
2021S000806,2021-01-22T23:25:00ZZ,Calle_de_Bravo_Murillo,https://wikidata.org/entity/Q5740815,97,Chamberi,Caída,,Bicicleta,10010,Conductor,De 25 a 29 años,Hombre,
2021S000898,2021-01-24T15:35:00ZZ,Calle_del_Almirante_Madrid,https://wikidata.org/entity/Q28937422,32,Centro,Colisión fronto-lateral,,Bicicleta,10011,Conductor,De 30 a 34 años,Hombre,
2021S000931,2021-01-24T01:30:00ZZ,plaza_de_Canovas_del_Castillo,https://wikidata.org/entity/Q16620193,5,Centro,Atropello a persona,Despejado,Bicicleta,10012,Conductor,De 35 a 39 años,Hombre,14
2021S000931,2021-01-24T01:30:00ZZ,plaza_de_Canovas_del_Castillo,https://wikidata.org/entity/Q16620193,5,Centro,Atropello a persona,Despejado,Bicicleta,10013,Peatón,De 60 a 64 años,Mujer,7
2021S000933,2021-01-23T11:40:00ZZ,Paseo_de_las_Yeserias_Madrid,https://wikidata.org/entity/Q16616818,15A,Arganzuela,Colisión lateral,Despejado,Bicicleta,10014,Conductor,De 45 a 49 años,Hombre,7
2021S001043,2021-01-26T07:25:00ZZ,GLORIETA_SANTA_MARIA_DE_LA_CABEZA,,7,Arganzuela,Caída,Lluvia débil,Bicicleta,10015,Conductor,De 30 a 34 años,Mujer,6
