CALLE,CALLEWIKIDATA,TIPOCALLE
"Calle_Arroyo_de_la_Media_Legua,_Madrid",https://wikidata.org/entity/Q28935853,CICLOCALLES
Calle_de_Sierra_Toledana,,CICLOCALLES
"Calle_de_la_Fuente_Carrantona,_Madrid",https://wikidata.org/entity/Q28936137,PEATONAL
"Calle_de_la_Hacienda_de_Pavones,_Madrid",https://wikidata.org/entity/Q28936083,CICLOCALLES
Calle_de_la_Encomienda_de_Palacios,,CICLOCALLES
Calle_del_Doctor_Lozano,,CICLOCALLES
Camino_del_Pozo_del_TÝo_Raimundo,,CICLOCALLES
Camino_del_Pozo_del_TÝo_Raimundo,,CICLOCALLES
Camino_de_las_Hormigueras,,CICLOCALLES
Calle_de_Sierra_Vieja,,CICLOCALLES
Camino_de_las_Hormigueras,,CICLOCALLES
Calle_de_Sierra_Vieja,,CICLOCALLES
Calle_de_Cyesa,,CICLOCALLES
Calle_de_JosU_Luis_de_Arrese,,CICLOCALLES
Calle_del_MarquUs_de_Lozoya,,CICLOCALLES
"Calle_Arroyo_de_la_Media_Legua,_Madrid",https://wikidata.org/entity/Q28935853,CICLOCALLES
Calle_de_Sierra_Toledana,,CICLOCALLES
Calle_de_la_Virgen_de_Lluc,,CICLOCALLES
Calle_del_MarquUs_de_Lozoya,,CICLOCALLES
Calle_del_Alcalde_L¾pez_Casero,,CICLOCALLES
Calle_del_Pez_Austral,,CICLOCALLES
Calle_de_Arias_Montano,,CICLOCALLES
Calle_de_la_Estrella_Polar,,PEATONAL
"Calle_de_Juan_Esplandiu,_Madrid",https://wikidata.org/entity/Q57719867,CICLOCALLES
Avenida_de_la_Paz,,PEATONAL
Calle_de_Ricardo_Ortiz,,CICLOCALLES
Calle_de_Ricardo_Ortiz,,CICLOCALLES
Calle_de_Antonio_Toledano,,CICLOCALLES
Calle_de_Iturbe,,CICLOCALLES
Calle_de_Bocßngel,,CICLOCALLES
Parque_Fuente_del_Berro,,PEATONAL
Calle_de_Alejandro_Gonzßlez,,CICLOCALLES
Plaza_de_AmUrica_Espa±ola,,CICLOCALLES
Calle_del_MarquUs_de_MondUjar,,CICLOCALLES
Calle_de_VaquerÝas,,CICLOCALLES
"Calle_de_los_Condes_de_Torreanaz,_Madrid",https://wikidata.org/entity/Q29531116,CICLOCALLES
