CALLE,TIPOCALLE
Calle_del_Arroyo_de_la_Media_Legua,CICLOCALLES
Calle_de_Sierra_Toledana,CICLOCALLES
Calle_de_la_Fuente_Carrantona,PEATONAL
Calle_de_la_Hacienda_de_Pavones,CICLOCALLES
Calle_de_la_Encomienda_de_Palacios,CICLOCALLES
Calle_del_Doctor_Lozano,CICLOCALLES
Camino_del_Pozo_del_TÝo_Raimundo,CICLOCALLES
Camino_del_Pozo_del_TÝo_Raimundo,CICLOCALLES
Camino_de_las_Hormigueras,CICLOCALLES
Calle_de_Sierra_Vieja,CICLOCALLES
Camino_de_las_Hormigueras,CICLOCALLES
Calle_de_Sierra_Vieja,CICLOCALLES
Calle_de_Cyesa,CICLOCALLES
Calle_de_JosU_Luis_de_Arrese,CICLOCALLES
Calle_del_MarquUs_de_Lozoya,CICLOCALLES
Calle_del_Arroyo_de_la_Media_Legua,CICLOCALLES
Calle_de_Sierra_Toledana,CICLOCALLES
Calle_de_la_Virgen_de_Lluc,CICLOCALLES
Calle_del_MarquUs_de_Lozoya,CICLOCALLES
Calle_del_Alcalde_L¾pez_Casero,CICLOCALLES
Calle_del_Pez_Austral,CICLOCALLES
Calle_de_Arias_Montano,CICLOCALLES
Calle_de_la_Estrella_Polar,PEATONAL
Calle_de_Juan_Esplandiu,CICLOCALLES
Avenida_de_la_Paz,PEATONAL
Calle_de_Ricardo_Ortiz,CICLOCALLES
Calle_de_Ricardo_Ortiz,CICLOCALLES
Calle_de_Antonio_Toledano,CICLOCALLES
Calle_de_Iturbe,CICLOCALLES
Calle_de_Bocßngel,CICLOCALLES
Parque_Fuente_del_Berro,PEATONAL
Calle_de_Alejandro_Gonzßlez,CICLOCALLES
Plaza_de_AmUrica_Espa±ola,CICLOCALLES
Calle_del_MarquUs_de_MondUjar,CICLOCALLES
Calle_de_VaquerÝas,CICLOCALLES
Calle_de_los_Condes_de_Torreanaz,CICLOCALLES
Calle_de_Juan_Esplandiu,CICLOCALLES
Calle_de_Saliente,CICLOCALLES
Calle_de_Londres,CICLOCALLES
Calle_de_Alcalß,CICLOCALLES
Avenida_de_los_Toreros,CICLOCALLES
Calle_de_?ngel_Ganivet,CICLOCALLES
Avenida_de_San_Luis,CICLOCALLES
Calle_de_Yerma,CICLOCALLES
Calle_de_Santa_MarÝa_Magdalena,PEATONAL
Calle_de_Uruguay,CICLOCALLES
Calle_del_Pintor_Ribera,CICLOCALLES
Calle_de_Huelva,CICLOCALLES
Calle_de_Jorge_Juan,CICLOCALLES
Calle_de_Santa_Rafaela_MarÝa_del_Sagrado_Coraz¾n,CICLOCALLES
Calle_de_Ferrer_del_RÝo,CICLOCALLES
Calle_de_Cartagena,CICLOCALLES
Avenida_de_Bruselas,CICLOCALLES
Calle_de_LombÝa,CICLOCALLES
