IdBiciMad,District,same_as_wikidata_District,Neighborhood,same_as_wikidata_Neighborhood,numPlaces,longitude,latitude,PostalAddress,same_as_wikidata_PostalAddress
001_a,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,30,-3.701998,40.4171107,Alcalá Street,https://wikidata.org/entity/Q2424746
001_b,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,30,-3.7015636,40.4172132,Alcalá Street,https://wikidata.org/entity/Q2424746
2,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,-3.7056739,40.42058,CALLE MIGUEL MOYA,
3,Chamberí,https://wikidata.org/entity/Q1763370,Arapiles,https://wikidata.org/entity/Q10856744,18,-3.7072122,40.4303224,PLAZA CONDE DEL VALLE DE SUCHIL,
4,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,-3.7026739,40.4285905,"Calle de Manuela Malasaña, Madrid",https://wikidata.org/entity/Q27044275
5,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,27,-3.7020743,40.428362,calle de Fuencarral,https://wikidata.org/entity/Q5740840
6,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6984093,40.4241633,calle de Hortaleza,https://wikidata.org/entity/Q5740911
7,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,21,-3.6977399,40.4252161,calle de Hortaleza,https://wikidata.org/entity/Q5740911
8,Chamberí,https://wikidata.org/entity/Q1763370,Almagro,https://wikidata.org/entity/Q10954432,24,-3.6953067,40.4277143,PLAZA ALONSO MARTINEZ,
9,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,24,-3.7094093,40.4156134,PLAZA SAN MIGUEL,
10,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6920816,40.4254027,"Calle del Marqués de la Ensenada, Madrid",https://wikidata.org/entity/Q55227717
11,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,-3.7036192,40.4270517,calle de San Andrés,https://wikidata.org/entity/Q27166315
12,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,-3.7062202,40.4285271,San Bernardo street,https://wikidata.org/entity/Q5740864
13,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,-3.7104727,40.4273652,calle del Conde Duque,https://wikidata.org/entity/Q27031730
14,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,Argüelles,https://wikidata.org/entity/Q64874,24,-3.7133768,40.4259913,calle de Ventura Rodríguez,https://wikidata.org/entity/Q28016771
15,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,21,-3.7073611,40.4262937,"Calle del Norte, Madrid",https://wikidata.org/entity/Q29840509
16,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,21,-3.7074955,40.4229421,San Bernardo street,https://wikidata.org/entity/Q5740864
17,Centro,https://wikidata.org/entity/Q1763376,Universidad,https://wikidata.org/entity/Q10387767,24,-3.7041859,40.4231675,PLAZA CARLOS CAMBRONERO,
18,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6995679,40.4209206,PLAZA PEDRO ZEROLO,
19,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6953951,40.4218997,"Calle de Prim, Madrid",https://wikidata.org/entity/Q28916366
20,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6952095,40.4191989,Alcalá Street,https://wikidata.org/entity/Q2424746
020_ampliacion,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,6,-3.6952901,40.4191858,Alcalá Street,https://wikidata.org/entity/Q2424746
22,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,24,-3.7064995,40.4201452,calle de Jacometrezo,https://wikidata.org/entity/Q5651414
23,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,24,-3.7082901,40.4202137,Fuente de la plaza de Santo Domingo,https://wikidata.org/entity/Q28502622
24,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,24,-3.7105866,40.417906,"Calle de Carlos III, Madrid",https://wikidata.org/entity/Q29004341
025_a,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,24,-3.7059978,40.4173416,PLAZA CELENQUE,
025_b,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,24,-3.7060243,40.4172593,PLAZA CELENQUE,
26,Centro,https://wikidata.org/entity/Q1763376,Justicia,https://wikidata.org/entity/Q1992319,24,-3.6945421,40.4238308,PLAZA LAS SALESAS,
27,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,27,-3.6955803,40.4132831,Carrer de Jesús,https://wikidata.org/entity/Q17593166
28,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,24,-3.6983662,40.4180695,Alcalá Street,https://wikidata.org/entity/Q2424746
29,Centro,https://wikidata.org/entity/Q1763376,Cortes,https://wikidata.org/entity/Q2535637,24,-3.6958008,40.416244,calle del Marqués de Cubas,https://wikidata.org/entity/Q19304646
30,Centro,https://wikidata.org/entity/Q1763376,Palacio,https://wikidata.org/entity/Q2136510,27,-3.7115428,40.4193355,"Calle de Pavía, Madrid",https://wikidata.org/entity/Q30816733
31,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,27,-3.706625,40.4163446,CALLE MAYOLE MAYOR,
32,Centro,https://wikidata.org/entity/Q1763376,Sol,https://wikidata.org/entity/Q2465181,18,-3.7061355,40.4148511,PLAZA LA PROVINCIA,
