ID_ESTACION,NOMBRE,DIRECCION,LONGITUD,LATITUD
4,Plaza de España,Plaza de España,-37.122.567,404.238.823
8,Escuelas Aguirre,Entre C/ Alcalá y C/ O'Donell ,-36.823.158,404.215.533
11,Avda. Ramón y Cajal,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,-36.773.491,404.514.734
16,Arturo Soria,C/ Arturo Soria  esq. C/  Vizconde de los Asilos ,-36.392.422,404.400.457
17,Villaverde,C/ Juan Peñalver,-37.133.167,40.347.147
18,Farolillo,Calle Farolillo - C/Ervigio,-37.318.356,403.947.825
24,Casa de Campo,Casa de Campo  (Terminal del Teleférico),-37.473.445,404.193.577
27,Barajas Pueblo,C/ Júpiter,-35.800.258,404.769.179
35,Pza. del Carmen,Plaza del Carmen esq. Tres Cruces. ,-37.031.662,404.192.091
36,Moratalaz,Avd. Moratalaz  esq. Camino de los Vinateros,-36.453.104,404.079.517
38,Cuatro Caminos,Avda. Pablo Iglesias esq. C/ Marqués de Lema,-37.071.303,404.455.439
39,Barrio del Pilar,Avd. Betanzos esq. C/  Monforte de Lemos ,-37.115.364,404.782.322
40,Vallecas,C/ Arroyo del Olivar  esq. C/  Río Grande. ,-36.515.286,403.881.478
47,Mendez Alvaro,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,-36.868.138,403.980.991
48,Castellana,C/ Jose Gutierrez Abascal,-36.903.729,404.398.904
49,Parque del Retiro,Paseo Venezuela- Casa de Vacas,-36.824.999,404.144.444
50,Plaza Castilla,Plaza Castilla (Canal),-36.887.449,404.655.841
54,Ensanche de Vallecas,Avda La Gavia / Avda. Las Suertes,-36.121.394,403.730.118
55,Urb. Embajada,C/ Riaño (Barajas) ,-35.805.649,404.623.628
56,Plaza Elíptica,Plaza Elíptica - Avda. Oporto,-37.187.679,403.850.336
57,Sanchinarro,C/ Princesa de Eboli esq C/ Maria Tudor,-36.605.173,404.942.012
58,El Pardo,Avda. La Guardia,-37.746.101,405.180.701
59,Juan Carlos I,Parque Juan Carlos I (frente oficinas mantenimiento),-36.163.407,404.607.255
60,Tres Olivos,Plaza Tres Olivos ,-36.897.308,405.005.477
