ID_ESTACION,NOMBRE,WIKIDATA-LINKS,DIRECCION,LONGITUD,LATITUD
4,plaza de España,https://www.wikidata.org/wiki/Q1326261,Plaza de España,-3.7122567,40.4238823
8,Escuelas Aguirre,https://www.wikidata.org/wiki/Q5397501,C/ Alcalá y C/ O'Donell,-3.6823158,40.4215533
11,"Avenida de Ramón y Cajal, Madrid",https://www.wikidata.org/wiki/Q30467128,Avda. Ramón y Cajal  esq. C/ Príncipe de Vergara,-3.6773491,40.4514734
16,Arturo Soria,https://www.wikidata.org/wiki/Q2481371,C/ Arturo Soria  esq. C/  Vizconde de los Asilos,-3.6392422,40.4400457
17,Villaverde,https://www.wikidata.org/wiki/Q919536,C/. Juan Peñalver,-3.7133167,40.347147
18,Farolillo,,Calle Farolillo - C/Ervigio,-3.7318356,40.3947825
24,Casa de Campo,https://www.wikidata.org/wiki/Q16302441,Casa de Campo  (Terminal del Teleférico),-3.7473445,40.4193577
27,Barajas,https://www.wikidata.org/wiki/Q807230,"C/. Júpiter, 21 (Barajas)",-3.5800258,40.4769179
35,Plaza del Carmen,https://www.wikidata.org/wiki/Q6080406,Plaza del Carmen esq. Tres Cruces.,-3.7031662,40.4192091
36,Moratalaz,https://www.wikidata.org/wiki/Q2076109,Avd. Moratalaz  esq. Camino de los Vinateros,-3.6453104,40.4079517
38,Cuatro Caminos,https://www.wikidata.org/wiki/Q2420839,Avda. Pablo Iglesias esq. C/ Marqués de Lema,-3.7071303,40.4455439
39,Barrio del Pilar,https://www.wikidata.org/wiki/Q2463533,Avd. Betanzos esq. C/  Monforte de Lemos,-3.7115364,40.4782322
40,Vallecas,https://www.wikidata.org/wiki/Q10296,C/ Arroyo del Olivar  esq. C/  Río Grande.,-3.6515286,40.3881478
47,Méndez Á�lvaro,https://www.wikidata.org/wiki/Q2479775,C/ Juan de Mariana / Pza. Amanecer Mendez Alvaro,-3.6868138,40.3980991
48,Castellana,https://www.wikidata.org/wiki/Q4781,C/ Jose Gutierrez Abascal,-3.6903729,40.4398904
49,El Retiro Park,https://www.wikidata.org/wiki/Q1131807,Paseo Venezuela- Casa de Vacas,-3.6824999,40.4144444
50,Plaza de Castilla,https://www.wikidata.org/wiki/Q2463399,Plaza Castilla (Canal),-3.6887449,40.4655841
54,Ensanche de Vallecas,https://www.wikidata.org/wiki/Q3847485,Avda La Gavia / Avda. Las Suertes,-3.6121394,40.3730118
55,Urbanización Embajada,,C/ Riaño (Barajas),-3.5805649,40.4623628
56,Plaza Elíptica,https://www.wikidata.org/wiki/Q16619985,Plaza Elíptica - Avda. Oporto,-3.7187679,40.3850336
57,Sanchinarro,https://www.wikidata.org/wiki/Q3076623,C/ Princesa de Eboli esq C/ Maria Tudor,-3.6605173,40.4942012
58,El Pardo,https://www.wikidata.org/wiki/Q3314337,Avda. La Guardia,-3.7746101,40.5180701
59,Juan Carlos I Park,https://www.wikidata.org/wiki/Q1583169,Parque Juan Carlos I (frente oficinas mantenimiento),-3.6163407,40.4607255
60,Tres Olivos,https://www.wikidata.org/wiki/Q608766,Plaza Tres Olivos,-3.6897308,40.5005477
