ID_ESTACION,ID_GAS,NOMBRE,WIKIDATA-LINKS,NOTACION,FECHA,CANTIDAD
8,1,dióxido de azufre,https://www.wikidata.org/wiki/Q5282,SO2,2021-11-11,4
8,6,monóxido de carbono,https://www.wikidata.org/wiki/Q2025,CO,2021-11-11,0.6
8,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,136
8,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,99
8,9,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM2.5,2021-11-11,18
8,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,30
8,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,307
8,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,5.11
8,20,tolueno,https://www.wikidata.org/wiki/Q15779,TOL,2021-11-11,8
8,30,benceno,https://www.wikidata.org/wiki/Q2270,BEN,2021-11-11,1.6
8,35,etilbenceno,https://www.wikidata.org/wiki/Q409184,EBE,2021-11-11,1.5
11,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,67
11,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,104
11,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,206
11,20,tolueno,https://www.wikidata.org/wiki/Q15779,TOL,2021-11-11,4.5
11,30,benceno,https://www.wikidata.org/wiki/Q2270,BEN,2021-11-11,1
11,35,etilbenceno,https://www.wikidata.org/wiki/Q409184,EBE,2021-11-11,0.9
16,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,105
16,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,96
16,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,256
16,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,5.87
17,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,139
17,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,92
17,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,305
17,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,4.7
18,6,monóxido de carbono,https://www.wikidata.org/wiki/Q2025,CO,2021-11-11,0.5
18,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,30
18,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,62
18,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,18
18,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,107
18,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,1.1
18,20,tolueno,https://www.wikidata.org/wiki/Q15779,TOL,2021-11-11,1.6
18,30,benceno,https://www.wikidata.org/wiki/Q2270,BEN,2021-11-11,0.2
18,35,etilbenceno,https://www.wikidata.org/wiki/Q409184,EBE,2021-11-11,0.3
24,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,21
24,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,58
24,9,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM2.5,2021-11-11,11
24,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,20
24,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,90
24,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,1
24,20,tolueno,https://www.wikidata.org/wiki/Q15779,TOL,2021-11-11,2.5
24,30,benceno,https://www.wikidata.org/wiki/Q2270,BEN,2021-11-11,0.7
24,35,etilbenceno,https://www.wikidata.org/wiki/Q409184,EBE,2021-11-11,0.3
27,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,67
27,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,75
27,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,178
27,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,6.28
35,1,dióxido de azufre,https://www.wikidata.org/wiki/Q5282,SO2,2021-11-11,6
35,6,monóxido de carbono,https://www.wikidata.org/wiki/Q2025,CO,2021-11-11,0.5
35,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,56
35,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,65
35,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,151
35,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,6.19
36,1,dióxido de azufre,https://www.wikidata.org/wiki/Q5282,SO2,2021-11-11,3
36,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,183
36,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,112
36,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,41
36,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,392
38,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,73
38,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,83
38,9,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM2.5,2021-11-11,14
38,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,24
38,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,195
38,20,tolueno,https://www.wikidata.org/wiki/Q15779,TOL,2021-11-11,6.3
38,30,benceno,https://www.wikidata.org/wiki/Q2270,BEN,2021-11-11,0.7
38,35,etilbenceno,https://www.wikidata.org/wiki/Q409184,EBE,2021-11-11,1.1
39,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,101
39,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,80
39,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,235
39,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,3.11
40,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,150
40,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,114
40,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,44
40,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,344
48,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,49
48,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,91
48,9,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM2.5,2021-11-11,13
48,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,19
48,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,166
49,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,98
49,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,82
49,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,233
49,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,5.07
50,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,38
50,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,85
50,9,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM2.5,2021-11-11,21
50,10,partículas en suspensión,https://www.wikidata.org/wiki/Q498957,PM10,2021-11-11,41
50,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,144
54,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,136
54,8,dióxido de nitrógeno,https://www.wikidata.org/wiki/Q207895,NO2,2021-11-11,107
54,12,óxido de nitrógeno,https://www.wikidata.org/wiki/Q424418,NOx,2021-11-11,316
54,14,ozono,https://www.wikidata.org/wiki/Q36933,O3,2021-11-11,2.15
55,7,óxido nítrico,https://www.wikidata.org/wiki/Q207843,NO,2021-11-11,106
