NAME,DATA_TYPE,CENTER,SCHEDULE,WASTE,ROAD_TYPE,ROAD_NAME,NUM_TYPE,NUM,DISTRICT_CODE,DISTRICT,DISTRICT_URL,UTMX,UTMY
CA-Estrella-Denebola-5,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Estrella Denebola,Numero,5,2,Arganzuela,https://wikidata.org/entity/Q2000929,-3.6833138996850545,40.39567491441793
CA-Alfonso-XIII-(Entrada-junto-gasolinera)-128,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Alfonso XIII (Entrada junto gasolinera),Numero,128,5,Chamartín,https://wikidata.org/entity/Q1766348,-3.667491410994397,40.45869647797479
CA-Daroca-104,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Daroca,Numero,104,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,-3.6307109914813154,40.418070489267045
CA-Tomas-Redondo-8,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Tomas Redondo,Numero,8,16,Hortaleza,https://wikidata.org/entity/Q1928529,-3.627718029600614,40.46994451490723
CA-Angel-Sanz-Briz-4,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Avenida,Angel Sanz Briz,Numero,4,10,Latina,https://wikidata.org/entity/Q794954,-3.735608846012272,40.40059627124522
CA-Senda-Del-Rey-20,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Paseo,Senda Del Rey,Numero,20,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,-3.740123684594243,40.451764168499885
CA-Arroyo-de-la-Media-Legua-72,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Arroyo de la Media Legua,Numero,72,14,Moratalaz,https://wikidata.org/entity/Q2076109,-3.651292460549866,40.41458023651785
CA-Jose-Paulete-43,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Jose Paulete,Numero,43,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,-3.6544626155811577,40.39408110065874
CA-San-Romualdo-20,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,San Romualdo,Numero,20,20,San Blas,https://wikidata.org/entity/Q2001937,-3.6231736071750844,40.44060776192057
CA-Cristo-de-la-Victoria-245,Contenedor de Aceite,Via Publica,Lunes a Sabado 8:00 a 20:00. Domingo y festivos 9:00 a 14:00.  24 y 31 de diciembre 8:00 a 14:00. 25 de diciembre y 1 y 6 enero CERRADO.,Aceite vegetal de cocina,Calle,Cristo de la Victoria,Numero,245,12,Usera,https://wikidata.org/entity/Q953368,-3.70941259291278,40.378632125177575
