ID,NUM_EXPEDIENTE,FECHA/HORA,CALLE,NUMERO,DISTRITO,DISTRITO_2,TIPO_ACCIDENTE,TIPO_PERSONA,RANGO_EDAD,SEXO,LESIVIDAD
1,2021S000235,2021-01-01T23:05:00Z,AVDA. RAFAELA YBARRA / CALL. MARCELO USERA,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 45 A 49 AÑOS,Hombre,0
2,2021S000235,2021-01-01T23:05:00Z,AVDA. RAFAELA YBARRA / CALL. MARCELO USERA,0,Usera,https://wikidata.org/entity/Q953368,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,0
3,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DE 21 A 24 AÑOS,Hombre,0
4,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Pasajero,DE 6 A 9 AÑOS,Mujer,14
5,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
6,2021S000021,2021-01-01T22:57:00Z,CALL. BEMBIBRE / CALL. BACARES,0,Hortaleza,https://wikidata.org/entity/Q1928529,Choque contra obstáculo fijo,Conductor,DESCONOCIDA,Desconocido,0
7,2021S000116,2021-01-01T22:40:00Z,CALL. RAMON ARECES / AUTOV. M-30,0,Moratalaz,https://wikidata.org/entity/Q2076109,Choque contra obstáculo fijo,Conductor,DE 40 A 44 AÑOS,Hombre,0
8,2021S000022,2021-01-01T22:30:00Z,AVDA. ALBUFERA / CALL. LOPEZ GRASS,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Alcance,Conductor,DE 25 A 29 AÑOS,Hombre,14
9,2021S000022,2021-01-01T22:30:00Z,AVDA. ALBUFERA / CALL. LOPEZ GRASS,0,Puente de Vallecas,https://wikidata.org/entity/Q2003054,Alcance,Conductor,DE 40 A 44 AÑOS,Hombre,2
10,2021S000052,2021-01-01T22:00:00Z,CALL. SAN GUMERSINDO / CALL. BENIDORM,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión lateral,Conductor,DE 21 A 24 AÑOS,Hombre,7
11,2021S000052,2021-01-01T22:00:00Z,CALL. SAN GUMERSINDO / CALL. BENIDORM,0,Ciudad Lineal,https://wikidata.org/entity/Q1763694,Colisión lateral,Conductor,DE 35 A 39 AÑOS,Hombre,14
