PROVINCIA,CODIGO-PROVINCIA,AYUNTAMIENTO,CODIGO-AYUNTAMIENTO,PLAYA,UBICACION,LONGITUD-PLAYA,TIPO-PLAYA,TIPO-DE-ARENA,LATITUD,LONGITUD,MAS-INFORMACION
A_Coruna,15,Arteixo,15005,A_Salsa,,20,Playa_resguardada,Cantos_rodados,43.320555,-8.525277,http://www.turismo.gal/ficha-recurso?cod_rec=268679921
A_Coruna,15,Arteixo,15142,Area_Grande_ou_Valcovo,Valcovo_-_Arteixo_(Santiago),300,Playa_abierta,Fina,43.315444,-8.533555,http://www.turismo.gal/ficha-recurso?cod_rec=10268
A_Coruna,15,Arteixo,15142,Area_Pequena_-_A_Hucha,Arteixo_(Santiago),90,Playa_abierta,Fina,43.317583,-8.53011,http://www.turismo.gal/ficha-recurso?cod_rec=10267
A_Coruna,15,Arteixo,15444,Areal_das_Combouzas,Barranan_(San_Xian),300,Playa_abierta,Fina,43.312667,-8.544277,http://www.turismo.gal/ficha-recurso?cod_rec=10269
A_Coruna,15,Arteixo,15444,Areal_do_Reiro,,50,Playa_abierta,Fina,43.311889,-8.559806,http://www.turismo.gal/ficha-recurso?cod_rec=11436
A_Coruna,15,Arteixo,15444,Barranan,Barranan_(San_Xian),1200,Playa_abierta,Fina,43.311556,-8.552,http://www.turismo.gal/ficha-recurso?cod_rec=9861
A_Coruna,15,Arteixo,15005,Alba-Sabon,Oseiro_(San_Tirso),900,Playa_abierta,Fina,43.327694,-8.508833,http://www.turismo.gal/ficha-recurso?cod_rec=9859
A_Coruna,15,Boiro,15011,A_Ladeira_do_Chazo,O_Chazo_-_Abanqueiro_(San_Cristovo),940,Playa_resguardada,Fina,42.608056,-8.857111,http://www.turismo.gal/ficha-recurso?cod_rec=268678131
A_Coruna,15,Boiro,15011,A_Retorta,A_Pesqueira_-_Castro_(Santa_Maria),250,Playa_resguardada,Gruesa,42.607667,-8.865278,http://www.turismo.gal/ficha-recurso?cod_rec=260662698
A_Coruna,15,Boiro,15011,Barrana,Boiro_(Santa_Baia),3000,Playa_resguardada,Fina,42.639611,-8.883889,http://www.turismo.gal/ficha-recurso?cod_rec=9904
A_Coruna,15,Boiro,15011,Barrana-Saltino,Boiro_(Santa_Baia),620,Playa_resguardada,Fina,42.639496,-8.884501,http://www.turismo.gal/ficha-recurso?cod_rec=276130117
A_Coruna,15,Boiro,15011,Carragueiros,A_Pesqueira_-_Castro_(Santa_Maria),1510,Playa_resguardada,Gruesa,42.610361,-8.869833,http://www.turismo.gal/ficha-recurso?cod_rec=9900
