gis_x,gis_y,fecha_alta,distrito,same_as_wikidata_distrito,barrio,same_as_wikidata_barrio,via,num_finca,matricula
439608.1907882330,4473550.0278627100,2014-05-28,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LAS-AGUAS,1,0301110056
439757.5709535220,4473794.5182208300,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DEL-ALMENDRO,14,0301110042
439724.4730690000,4474317.3719490000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-AMNISTIA,6,0301110014
439923.6811090000,4474528.8892540000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,COSTANILLA-DE-LOS-ANGELES,11,0301110012
439735.2317480000,4474489.9585980000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-ARRIETA,8,0301110010
439232.9841766630,4473818.0719398400,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-BEATRIZ-GALINDO,S/N,0301110032
439834.9469865800,4474517.9686340600,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-CAMPOMANES,8,0301110011
439885.3223309330,4473783.4094054000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-CAVA-ALTA,6,0301110041
439775.1329369930,4473743.0719398400,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-CAVA-BAJA,34,0301110045
439778.7486394730,4473597.8240059600,2014-05-28,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-CEBADA,1,0301110058
439819.5452090000,4473647.6337040000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,PLAZA-DE-LA-CEBADA,5,0301110048
439351.2693006300,4473878.4025183500,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CUESTA-DE-LOS-CIEGOS,S/N,0301110031
439765.7321105470,4473972.8240059600,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,PLAZA-DEL-CORDON,3,0301110030
439308.7417524200,4473344.2427387400,2014-05-28,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CUESTA-DE-LAS-DESCARGAS,10,0301110069
439715.6288047620,4474900.3033448000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DEL-DOCTOR-CARRACIDO,2,0301110002
439814.3891353410,4474304.9521051300,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-ESCALINATA,11,0301110013
439545.7940940180,4474176.5430142200,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DEL-FACTOR,10,0301110017
439718.1791390000,4474760.2235020000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-FOMENTO,16,0301110004
439902.7155816220,4473831.2950803400,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-GRAFAL,7,0301110040
439513.7693006300,4473853.9190472800,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DEL-GRANADO,2,0301110039
439703.2389975990,4473689.4094054000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,PLAZA-DEL-HUMILLADERO,5,0301110036
439833.8088040000,4474770.9404620000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-ISABEL-LA-CATOLICA,11,0301110005
439629.3438770000,4474143.3902660000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-JUAN-DE-HERRERA,5,0301110018
439526.1659948450,4473771.4810307500,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LOS-MANCEBOS,11,0301110043
439370.8629645420,4473809.8074770300,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-MORERIA,14,0301110033
439596.3217400000,4474269.2357610000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-NOBLEJAS,2,0301110016
439624.0998791420,4473850.3033448000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,COSTANILLA-DE-SAN-ANDRES,8,0301110038
439412.6329369930,4473402.5760720700,2014-05-28,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-SAN-BERNABE,12,0301110066
439365.0089700510,4473646.0678076100,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-SAN-BUENAVENTURA,4,0301110051
439599.9618760000,4473649.5503710000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CARRERA-DE-SAN-FRANCISCO,2,0301110050
439500.6702090000,4473595.5087040000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-SAN-ISIDRO-LABRADOR,11,0301110055
439703.7787670000,4473820.4406230000,2014-05-27,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,COSTANILLA-DE-SAN-PEDRO,10,0301110034
439814.9056642660,4474700.9231795100,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-TORIJA,2,0301110006
439685.0561090000,4474340.0559210000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-VERGARA,9,0301110015
439540.6985080000,4473987.0359070000,2014-05-26,01-CENTRO,https://wikidata.org/entity/Q1763376,01-01-PALACIO,https://wikidata.org/entity/Q2136510,CALLE-DE-LA-VILLA,2,0301110028
