DIRECCION_COMPLETA,CLASE_VIAL,NOMBRE_VIAL,NUMERO,DISTRITO,UTMX,UTMY,Horario,Direccion
CallePrincipedeVergara_110,Calle,Príncipe de Vergara,110,CHAMARTIN,442421.33,4476741.68,LUNES_MAÑANA_7:00_8:30,"Calle Príncipe de Vergara, 110"
CalleSanMarcelo_6,Calle,San Marcelo,6,CIUDAD LINEAL,444161.68,4475366.47,LUNES_MAÑANA_7:00_8:30,"Calle San Marcelo, 6"
AvenidaDoctorArce_1InterseccionconPlazadelaRepublicaArgentina,Avenida,Doctor Arce,1,CHAMARTIN,441900.66,4477410.63,LUNES_MAÑANA_8:45_10:15,"Avenida Doctor Arce, 1"
CalleSanturce_InterseccionconCalleLuisRuiz,Calle,Santurce,,CIUDAD LINEAL,446077.17,4475366.87,LUNES_MAÑANA_8:45_10:15,"Calle Santurce, "
CallePradillo_22,Calle,Pradillo,22,CHAMARTIN,442881.26,4477772.74,LUNES_MAÑANA_10:30_12:00,"Calle Pradillo, 22"
CalleGomezdeAvellaneda_14,Calle,Gómez de Avellaneda,14,CIUDAD LINEAL,445480.21,4476101.61,LUNES_MAÑANA_10:30_12:00,"Calle Gómez de Avellaneda, 14"
PaseodelaDireccion_328,Paseo,de la Dirección,328,TETUAN,440313.76,4480160.56,LUNES_MAÑANA_10:30_12:00,"Paseo de la Dirección, 328"
CallePadreClaret_17,Calle,Padre Claret,17,CHAMARTIN,443640.94,4477637.11,LUNES_MAÑANA_12:15_13:45,"Calle Padre Claret, 17"
CalleHierbabuena_13,Calle,Hierbabuena,13,TETUAN,440494.07,4479060.15,LUNES_TARDE_15:45_17:15,"Calle Hierbabuena, 13"
CalleJulioDanvila_1Frentealcolegio,Calle,Julio Dánvila,1,CIUDAD LINEAL,443458.44,4480309.3,LUNES_TARDE_19:15_20:45,"Calle Julio Dánvila, 1"
CalleSaliente_Frentealnumero10,Calle,Saliente,,RETIRO,443446.55,4474466.02,LUNES_TARDE_19:15_20:45,"Calle Saliente, "
CallePedroTeixeira_10InterseccionconCallePoetaJoanMaragall,Calle,Pedro Teixeira,10,TETUAN,441286.56,4478482.2,LUNES_TARDE_19:15_20:45,"Calle Pedro Teixeira, 10"
CalleJuanDuque_InterseccionconCalleFosforo,Calle,Juan Duque,,ARGANZUELA,438941.39,4473524.5,MARTES_MAÑANA_7:00_8:30,"Calle Juan Duque, "
CalleFernandoelCatolico_73,Calle,Fernando el Católico,73,CHAMBERI,439239.86,4476218.44,MARTES_MAÑANA_7:00_8:30,"Calle Fernando el Católico, 73"
PaseoEsperanza_21,Paseo,Esperanza,21,ARGANZUELA,440234.97,4472511.69,MARTES_MAÑANA_8:45_10:15,"Paseo Esperanza, 21"
CalleJoaquinMariaLopez_54,Calle,Joaquín María López,54,CHAMBERI,439312.53,4476603.04,MARTES_MAÑANA_8:45_10:15,"Calle Joaquín María López, 54"
CalleDiligencia_22InterseccionconCallelaVioletera_frentealViverodeEmpresas,Calle,Diligencia,22,PUENTE VALLECAS,444302.77,4470488.95,MARTES_MAÑANA_8:45_10:15,"Calle Diligencia, 22"
CalleFernandoPoo_Frenteelnumero36_esquinaDivinoValles,Calle,Fernando Poo,,ARGANZUELA,440606.99,4472014.76,MARTES_MAÑANA_10:30_12:00,"Calle Fernando Poo, "
CalleArrieta_15,Calle,Arrieta,15,CENTRO,439675.8,4474526.5,MARTES_MAÑANA_10:30_12:00,"Calle Arrieta, 15"
CallePonzano_2,Calle,Ponzano,2,CHAMBERI,440684.85,4476491.04,MARTES_MAÑANA_10:30_12:00,"Calle Ponzano, 2"
AvenidaSanDiego_78InterseccionconCalleManuelMaroto,Avenida,San Diego,78,PUENTE VALLECAS,443184.53,4471012.4,MARTES_MAÑANA_10:30_12:00,"Avenida San Diego, 78"
PaseoDelicias_68,Paseo,Delicias,68,ARGANZUELA,441080.38,4472315.18,MARTES_MAÑANA_12:15_13:45,"Paseo Delicias, 68"
CalleFranciscodeRojas_11,Calle,Francisco de Rojas,11,CHAMBERI,440624.47,4475722.24,MARTES_MAÑANA_12:15_13:45,"Calle Francisco de Rojas, 11"
CalleEnriqueGarciaAlvarez_Frentealnumero10,Calle,Enrique García Álvarez,,VILLA DE VALLECAS,447815.84,4470316.07,MARTES_MAÑANA_12:15_13:45,"Calle Enrique García Álvarez, "
CalleFrayLuisdeLeon_InterseccionconCalleJuanSebastianElcano_17,Calle,Fray Luis de León,,ARGANZUELA,440713.46,4472921.95,MARTES_TARDE_14:00_15:30,"Calle Fray Luis de León, "
CalleGarciadeParedes_82,Calle,García de Paredes,82,CHAMBERI,441208.65,4476442.5,MARTES_TARDE_14:00_15:30,"Calle García de Paredes, 82"
AvenidaCelioVillalba_InterseccionconCalleManizales,Avenida,Celio Villalba,,HORTALEZA,446022.61,4480624.5,MARTES_TARDE_14:00_15:30,"Avenida Celio Villalba, "
CalleMarismas_24,Calle,Marismas,24,PUENTE VALLECAS,444538.49,4472519.71,MARTES_TARDE_14:00_15:30,"Calle Marismas, 24"
CalleFuentespina_10,Calle,Fuentespina,10,VILLA DE VALLECAS,448482.94,4470052.83,MARTES_TARDE_14:00_15:30,"Calle Fuentespina, 10"
CalleArganda_2Frentealnumero2,Calle,Arganda,2,ARGANZUELA,439813.61,4472287.38,MARTES_TARDE_15:45_17:15,"Calle Arganda, 2"
