Column,Column2,File,id_provincia,PROVINCIA,same_as_wikidata_provincia,id_municipio,MUNICIPIO,same_as_wikidata_municipio,ESTACION,ESTACION_NAME,MAGNITUD,MAGNITUD_NAME,DATE,D01,V01
0,0,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-01-01T00:00:00Z,1.0,V
1,1,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-02-01T00:00:00Z,5.0,V
2,2,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-03-01T00:00:00Z,1.0,V
3,3,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-04-01T00:00:00Z,2.0,V
4,4,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-05-01T00:00:00Z,2.0,V
5,5,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-06-01T00:00:00Z,3.0,V
6,6,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-07-01T00:00:00Z,2.0,V
7,7,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-08-01T00:00:00Z,9.0,V
8,8,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-09-01T00:00:00Z,10.0,V
9,9,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-10-01T00:00:00Z,10.0,V
10,10,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-11-01T00:00:00Z,11.0,V
11,11,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,1,Dioxido de Azufre (ug/m3),2018-12-01T00:00:00Z,13.0,V
12,12,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-01-01T00:00:00Z,0.3,V
13,13,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-02-01T00:00:00Z,0.7,V
14,14,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-03-01T00:00:00Z,0.3,V
15,15,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-04-01T00:00:00Z,0.4,V
16,16,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-05-01T00:00:00Z,0.3,V
17,17,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-06-01T00:00:00Z,0.3,V
18,18,data2018-updated.csv,28,Community of Madrid,https://wikidata.org/entity/Q5756,79,Madrid,https://wikidata.org/entity/Q2807,4,Plaza de Espana,6,Monoxido de Carbono (mg/m3),2018-07-01T00:00:00Z,0.2,V
