id_terraza,id_local,id_distrito,Distrito,sameAsWikidataDistrito,Barrio,sameAsWikidataBarrio,TipoVia,sameAsWikidataTipoVia,NombreCalle,Portal,Rotulo,Mesas,Sillas,sameAsWikidataSillas
7,280067128,20,San Blas,https://wikidata.org/entity/Q2001937,Rosas,https://wikidata.org/entity/Q18880469,Calle,https://wikidata.org/entity/Q85750166,SOFIA,177,SR,5,10,https://wikidata.org/entity/Q23806
33,270403150,4,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559,Avenida,https://wikidata.org/entity/Q12383963,AMERICA,2,HONTANARES,9,27,https://wikidata.org/entity/Q433353
34,270078567,4,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559,Calle,https://wikidata.org/entity/Q85750166,ALONSO HEREDIA,25,BAR MARISQUERIA LUIS,4,14,https://wikidata.org/entity/Q38582
36,40002021,4,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559,Calle,https://wikidata.org/entity/Q85750166,AGUSTIN DURAN,10,SAGAR,5,10,https://wikidata.org/entity/Q23806
40,40002808,4,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,Calle,https://wikidata.org/entity/Q85750166,AYALA,14,WAGABOO,8,24,https://wikidata.org/entity/Q79988
41,270495851,4,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,Calle,https://wikidata.org/entity/Q85750166,ALCALA,59,THE JAMES JOYCE IRISH PUB,6,24,https://wikidata.org/entity/Q79988
44,40001459,4,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559,Avenida,https://wikidata.org/entity/Q12383963,AMERICA,32,HOTEL ABBA MADRID,6,24,https://wikidata.org/entity/Q79988
50,180000457,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Vallecas,https://wikidata.org/entity/Q10296,plaza,https://wikidata.org/entity/Q2997369,JUAN DE MALASAÑA,5,LA CHOZITA,27,92,https://wikidata.org/entity/Q277312
51,270076142,4,Salamanca,https://wikidata.org/entity/Q1773521,La Guindalera,https://wikidata.org/entity/Q3814559,Calle,https://wikidata.org/entity/Q85750166,ALCALA,225,EL NUEVO RINCÓN DE JAÉN,8,25,https://wikidata.org/entity/Q79986
52,270071068,4,Salamanca,https://wikidata.org/entity/Q1773521,Goya,https://wikidata.org/entity/Q3814578,Calle,https://wikidata.org/entity/Q85750166,ALCALA,127,VIENA CAPELLANES,3,9,https://wikidata.org/entity/Q19108
54,280062208,17,Villaverde,https://wikidata.org/entity/Q919536,San Cristóbal,https://wikidata.org/entity/Q390457,Calle,https://wikidata.org/entity/Q85750166,MONCADA,119,BAR LAS TORRES,6,24,https://wikidata.org/entity/Q79988
56,170000773,17,Villaverde,https://wikidata.org/entity/Q919536,Los Rosales,https://wikidata.org/entity/Q10319807,Calle,https://wikidata.org/entity/Q85750166,VILLAJOYOSA,73,KEBAB ARMENIA,4,16,https://wikidata.org/entity/Q40254
58,270075832,4,Salamanca,https://wikidata.org/entity/Q1773521,Fuente del Berro,https://wikidata.org/entity/Q3814564,Calle,https://wikidata.org/entity/Q85750166,ALCALA,172,CAFETERIA PARISIENA,8,24,https://wikidata.org/entity/Q79988
60,180000598,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Vallecas,https://wikidata.org/entity/Q10296,Calle,https://wikidata.org/entity/Q85750166,PEÑA DE VARGAS,7,EL RINCON DEL TIO PEPE,8,32,https://wikidata.org/entity/Q712701
66,200000837,20,San Blas,https://wikidata.org/entity/Q2001937,Simancas,https://wikidata.org/entity/Q10371626,Calle,https://wikidata.org/entity/Q85750166,MIERES,13,BAR JOSUE,4,16,https://wikidata.org/entity/Q40254
67,280067055,20,San Blas,https://wikidata.org/entity/Q2001937,Rejas,https://wikidata.org/entity/Q10359029,colonia,https://wikidata.org/entity/Q756780,OCCIDENTE,6,RESTAURANTE BAR TORRES,12,47,https://wikidata.org/entity/Q712687
68,270201818,17,Villaverde,https://wikidata.org/entity/Q919536,Villaverde Alto - Casco Histórico de Villaverde,https://wikidata.org/entity/Q390435,Calle,https://wikidata.org/entity/Q85750166,TORDEGRILLOS,45,BONGO CAFE,5,13,https://wikidata.org/entity/Q37141
69,270380946,4,Salamanca,https://wikidata.org/entity/Q1773521,Recoletos,https://wikidata.org/entity/Q3814551,Calle,https://wikidata.org/entity/Q85750166,ALCALA,89,EL ARBOL Y LA TOSTA,3,6,https://wikidata.org/entity/Q23488
72,210000683,21,Barajas,https://wikidata.org/entity/Q807230,Timón,https://wikidata.org/entity/Q10382570,Calle,https://wikidata.org/entity/Q85750166,ALAS,30,BURGER KING,9,36,https://wikidata.org/entity/Q712794
73,280060978,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,Avenida,https://wikidata.org/entity/Q12383963,ENSANCHE DE VALLECAS,44,RESTAURANTE 40 & CUATRO,30,120,https://wikidata.org/entity/Q717056
74,270202022,18,Villa de Vallecas,https://wikidata.org/entity/Q1947988,Vallecas,https://wikidata.org/entity/Q10296,Calle,https://wikidata.org/entity/Q85750166,SIERRA GORDA,25,BAR-RESTAURANTE,30,112,https://wikidata.org/entity/Q716846
76,170001120,17,Villaverde,https://wikidata.org/entity/Q919536,Butarque,https://wikidata.org/entity/Q390453,Calle,https://wikidata.org/entity/Q85750166,BERROCAL,11,CERVECERIA MINERVA,8,32,https://wikidata.org/entity/Q712701
77,170000836,17,Villaverde,https://wikidata.org/entity/Q919536,Los Rosales,https://wikidata.org/entity/Q10319807,plaza,https://wikidata.org/entity/Q2997369,CHOZAS DE CANALES,1,BAR DONDE SIEMPRE,21,80,https://wikidata.org/entity/Q712467
78,170001098,17,Villaverde,https://wikidata.org/entity/Q919536,Los Rosales,https://wikidata.org/entity/Q10319807,Calle,https://wikidata.org/entity/Q85750166,MARIA BARRIENTOS,4,LA PARADA ESQUINA,11,44,https://wikidata.org/entity/Q712706
79,270228707,17,Villaverde,https://wikidata.org/entity/Q919536,Villaverde Alto - Casco Histórico de Villaverde,https://wikidata.org/entity/Q390435,promenade,https://wikidata.org/entity/Q787113,ALBERTO PALACIOS,20,BURGUER CAROVI,10,40,https://wikidata.org/entity/Q42317
80,170000967,17,Villaverde,https://wikidata.org/entity/Q919536,Los Ángeles,https://wikidata.org/entity/Q390462,Calle,https://wikidata.org/entity/Q85750166,LA DEL MANOJO DE ROSAS,44,A GAIVOTIÑA II,16,56,https://wikidata.org/entity/Q522994
81,170000259,17,Villaverde,https://wikidata.org/entity/Q919536,Los Ángeles,https://wikidata.org/entity/Q390462,promenade,https://wikidata.org/entity/Q787113,TALLERES,2,PEÑA DE FRANCIA,15,60,https://wikidata.org/entity/Q79998
