id_terraza,id_local,id_distrito,Distrito,Barrio,TipoVia,NombreCalle,Portal,Rotulo,Mesas,Sillas
7,280067128,20,SAN BLAS-CANILLEJAS,ROSAS,CALLE,SOFIA,177,SR,5,10
33,270403150,4,SALAMANCA,GUINDALERA,AVENIDA,AMERICA,2,HONTANARES,9,27
34,270078567,4,SALAMANCA,GUINDALERA,CALLE,ALONSO HEREDIA,25,BAR MARISQUERIA LUIS,4,14
36,40002021,4,SALAMANCA,GUINDALERA,CALLE,AGUSTIN DURAN,10,SAGAR,5,10
40,40002808,4,SALAMANCA,RECOLETOS,CALLE,AYALA,14,WAGABOO,8,24
41,270495851,4,SALAMANCA,RECOLETOS,CALLE,ALCALA,59,THE JAMES JOYCE IRISH PUB,6,24
44,40001459,4,SALAMANCA,GUINDALERA,AVENIDA,AMERICA,32,HOTEL ABBA MADRID,6,24
50,180000457,18,VILLA DE VALLECAS,CASCO H.VALLECAS,PLAZA,JUAN DE MALASAÑA,5,LA CHOZITA,27,92
51,270076142,4,SALAMANCA,GUINDALERA,CALLE,ALCALA,225,EL NUEVO RINCÓN DE JAÉN,8,25
52,270071068,4,SALAMANCA,GOYA,CALLE,ALCALA,127,VIENA CAPELLANES,3,9
54,280062208,17,VILLAVERDE,SAN CRISTOBAL,CALLE,MONCADA,119,BAR LAS TORRES,6,24
56,170000773,17,VILLAVERDE,LOS ROSALES,CALLE,VILLAJOYOSA,73,KEBAB ARMENIA,4,16
58,270075832,4,SALAMANCA,FUENTE DEL BERRO,CALLE,ALCALA,172,CAFETERIA PARISIENA,8,24
60,180000598,18,VILLA DE VALLECAS,CASCO H.VALLECAS,CALLE,PEÑA DE VARGAS,7,EL RINCON DEL TIO PEPE,8,32
66,200000837,20,SAN BLAS-CANILLEJAS,SIMANCAS,CALLE,MIERES,13,BAR JOSUE,4,16
67,280067055,20,SAN BLAS-CANILLEJAS,REJAS,COLONIA,OCCIDENTE,6,RESTAURANTE BAR TORRES,12,47
68,270201818,17,VILLAVERDE,SAN ANDRES,CALLE,TORDEGRILLOS,45,BONGO CAFE,5,13
69,270380946,4,SALAMANCA,RECOLETOS,CALLE,ALCALA,89,EL ARBOL Y LA TOSTA,3,6
72,210000683,21,BARAJAS,TIMON,CALLE,ALAS,30,BURGER KING,9,36
73,280060978,18,VILLA DE VALLECAS,ENSANCHE DE VALLECAS,AVENIDA,ENSANCHE DE VALLECAS,44,RESTAURANTE 40 & CUATRO,30,120
74,270202022,18,VILLA DE VALLECAS,CASCO H.VALLECAS,CALLE,SIERRA GORDA,25,BAR-RESTAURANTE,30,112
76,170001120,17,VILLAVERDE,BUTARQUE,CALLE,BERROCAL,11,CERVECERIA MINERVA,8,32
77,170000836,17,VILLAVERDE,LOS ROSALES,PLAZA,CHOZAS DE CANALES,1,BAR DONDE SIEMPRE,21,80
78,170001098,17,VILLAVERDE,LOS ROSALES,CALLE,MARIA BARRIENTOS,4,LA PARADA ESQUINA,11,44
79,270228707,17,VILLAVERDE,SAN ANDRES,PASEO,ALBERTO PALACIOS,20,BURGUER CAROVI,10,40
80,170000967,17,VILLAVERDE,LOS ANGELES,CALLE,LA DEL MANOJO DE ROSAS,44,A GAIVOTIÑA II,16,56
81,170000259,17,VILLAVERDE,LOS ANGELES,PASEO,TALLERES,2,PEÑA DE FRANCIA,15,60
82,270456160,17,VILLAVERDE,SAN ANDRES,PASEO,TALLERES,48,LUCKY,8,16
83,170002005,17,VILLAVERDE,LOS ANGELES,CALLE,LA DEL MANOJO DE ROSAS,102,EL KUBO,16,64
84,270181857,17,VILLAVERDE,SAN ANDRES,PLAZA,MAYOR DE VILLAVERDE,4,BAR ASTURIAS,22,88
85,270379680,17,VILLAVERDE,LOS ROSALES,AVENIDA,OROVILLA,63,LA ABUELA,8,24
86,170000257,17,VILLAVERDE,LOS ANGELES,CALLE,PAN Y TOROS,11,BAR PEMA,11,42
87,270286727,17,VILLAVERDE,LOS ANGELES,CALLE,PAN Y TOROS,37,CASA MONICA,15,56
