Identifier,Description,AddressID,DistrictCode,DistrictName,NeighborhoodCode,NeighborhoodName,same_as_wikidata_barrio,OperativeStatus,Address
120312,SITUADO-APARCABICICLETAS-ESPACIO-DE-IGUALDAD-RETIRO-(ELENA-ARNEDO-SORIANO),120312,3,Retiro,32,Adelfas,https://wikidata.org/entity/Q3774001,OPERATIVO,"Calle de Valderribas, Madrid,99"
120718,SITUADO-APARCABICICLETAS-COLEGIO-SAN-EUGENIO-Y-SAN-ISIDRO,120718,2,Arganzuela,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"calle de las Peñuelas,29"
121719,SITUADO-APARCABICICLETAS-BIBLIOTECA-RETIRO,121719,3,Retiro,32,Adelfas,https://wikidata.org/entity/Q3774001,OPERATIVO,"Calle del Doctor Esquerdo, Madrid,189"
123078,SITUADO-APARCABICICLETAS-COLEGIO-PUBLICO-LEGADO-CRESPO,123078,2,Arganzuela,22,Las Acacias,https://wikidata.org/entity/Q3319190,OPERATIVO,"Paseo de las Acacias, Madrid,2"
123106,SITUADO-APARCABICICLETAS-AL-LADO-DE-AGENCIA-PARA-EL-EMPLEO-DE-MADRID,123106,2,Arganzuela,21,Imperial,https://wikidata.org/entity/Q3773740,OPERATIVO,"Paseo de los Pontones,10"
123753,SITUADO-APARCABICICLETAS-UPM:-ESCUELA-TENICA-SUPERIOR-DE-INGENIERIA-Y-DISEÑO-INSDUSTRIAL,123753,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"CALLE BERNARDINO OBREGON,1,1"
123802,SITUADO-APARCABICICLETAS-ESCUELA-MUNICIPAL-DE-MUSICA-ALMUDENA-CANO,123802,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"PASAJE TORTOSA,6,6"
124590,SITUADO-APARCABICICLETAS-COLEGIO-SALESIANOS-DE-ATOCHA-(SITUADO-LINEAL),124590,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"Ronda de Atocha,27"
124711,SITUADO-APARCABICICLETAS-EN-LA-GLORIETA,124711,3,Retiro,33,Estrella,https://wikidata.org/entity/Q3773738,OPERATIVO,"Plaza del Conde de Casal, Madrid,5"
124995,SITUADO-APARCABICICLETAS-DIRECCION-GENERAL-DE-AGRICULTURA-DE-LA-COMUNIDAD-DE-MADRID,124995,2,Arganzuela,26,Palos de Moguer,https://wikidata.org/entity/Q521009,OPERATIVO,"Ronda de Atocha,17"
126081,SITUADO-APARCABICICLETAS-AL-LADO-DE-CARRIL-BICI,126081,2,Arganzuela,21,Imperial,https://wikidata.org/entity/Q3773740,OPERATIVO,"CALLE JEMENUÑO,,"
128679,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-SAINZ-DE-BARANDA,128679,3,Retiro,33,Estrella,https://wikidata.org/entity/Q3773738,OPERATIVO,"Calle del Doctor Esquerdo, Madrid,107"
128692,"SITUADO-APARCABICICLETAS-AL-LADO-DEL-CEIP-CIUDAD-DE-ROMA,-EN-LA-ENTRADA-DEL-PARQUE",128692,3,Retiro,33,Estrella,https://wikidata.org/entity/Q3773738,OPERATIVO,"Calle de Juan Esplandiu, Madrid,1"
130122,SITUADO-APARCABICICLETAS-EN-LA-PARTE-DE-LAS-OFICINAS,130122,3,Retiro,33,Estrella,https://wikidata.org/entity/Q3773738,OPERATIVO,"Calle de Juan Esplandiu, Madrid,13"
130831,SITUADO-APARCABICICLETAS-AL-LADO-DE-CASA-DE-AMERICA,130831,4,Salamanca,41,Recoletos,https://wikidata.org/entity/Q3814551,OPERATIVO,"Alcalá Street,53"
131013,SITUADO-APARCABICICLETAS-ROTONDA-PUERTA-DE-ALCALA,131013,4,Salamanca,41,Recoletos,https://wikidata.org/entity/Q3814551,OPERATIVO,"Plaza de la Independencia,6"
131263,SITUADO-APARCABICICLETAS-ESTACION-DE-METRO-RETIRO,131263,4,Salamanca,41,Recoletos,https://wikidata.org/entity/Q3814551,OPERATIVO,"Lagasca Street,2"
131337,SITUADO-APARCABICICLETAS-POLIDEPORTIVO-FUENTE-DEL-BERRO,131337,4,Salamanca,43,Fuente del Berro,https://wikidata.org/entity/Q3814564,OPERATIVO,"CALLE ELVIRA,31,31"
