IDDispenserRubbish,IDDistrict,DistrictName,same_as_wikidata_district,IDNeighborhood,NeighborhoodName,Active,InstallDate,Address,Model
520067,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,BUENAVISTA,OPERATIVO,18/04/2011,AVENIDA DE LA PESETA 96,50_LTS_EX
7886328,19,Vicálvaro,https://wikidata.org/entity/Q589403,194,EL CANAVERAL,OPERATIVO,,,50_LTS_EX
523337,3,Retiro,https://wikidata.org/entity/Q2002296,35,LOS JERONIMOS,OPERATIVO,15/03/2012,CALLE DE ANTONIO MAURA 6,50_LTS_EX
524819,10,Latina,https://wikidata.org/entity/Q794954,101,LOS CARMENES,OPERATIVO,14/01/2013,CALLE DEL CERRO DE LA MICA 5,50_LTS_EX
524788,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,131,ENTREVIAS,OPERATIVO,27/12/2012,RONDA SUR 229,50_LTS_EX
526710,21,Barajas,https://wikidata.org/entity/Q807230,215,CORRALEJOS,OPERATIVO,04/03/2015,CALLE DE LA BAHIA DE MALAGA 18,50_LTS_EX
527838,21,Barajas,https://wikidata.org/entity/Q807230,214,TIMON,OPERATIVO,30/03/2016,CALLE DE MARIA REICHE,50_LTS_EX
464436,13,Puente de Vallecas,https://wikidata.org/entity/Q2003054,136,NUMANCIA,OPERATIVO,21/05/2010,CALLE DE LAS MARISMAS 2,50_LTS_EX
464985,20,San Blas,https://wikidata.org/entity/Q2001937,206,REJAS,OPERATIVO,24/05/2010,CALLE DE ARACNE 33,50_LTS_EX
469223,16,Hortaleza,https://wikidata.org/entity/Q1928529,166,VALDEFUENTES,OPERATIVO,31/05/2010,CALLE DE LA PRINCESA DE EBOLI 2D,50_LTS_EX
470010,5,Chamartín,https://wikidata.org/entity/Q1766348,56,CASTILLA,OPERATIVO,01/06/2010,AVENIDA DE PIO XII 94E,50_LTS_EX
470747,10,Latina,https://wikidata.org/entity/Q794954,101,LOS CARMENES,OPERATIVO,02/06/2010,CALLE DEL CONCEJAL FRANCISCO JOSE JIMENEZ MARTIN 5,50_LTS_EX
472726,5,Chamartín,https://wikidata.org/entity/Q1766348,54,HISPANOAMERICA,OPERATIVO,07/06/2010,CALLE DE VICTOR DE LA SERNA 12,50_LTS_EX
473347,5,Chamartín,https://wikidata.org/entity/Q1766348,51,EL VISO,OPERATIVO,08/06/2010,CALLE DE ARMANDO PALACIO VALDES 1,50_LTS_EX
473641,5,Chamartín,https://wikidata.org/entity/Q1766348,51,EL VISO,OPERATIVO,08/06/2010,AVENIDA DEL DOCTOR ARCE 17,50_LTS_EX
472847,10,Latina,https://wikidata.org/entity/Q794954,103,LUCERO,OPERATIVO,07/06/2010,CALLE DE LA ALHAMBRA 56,50_LTS_EX
474051,10,Latina,https://wikidata.org/entity/Q794954,104,ALUCHE,OPERATIVO,08/06/2010,CALLE DE CAMARENA 195,50_LTS_EX
516432,3,Retiro,https://wikidata.org/entity/Q2002296,31,PACIFICO,OPERATIVO,21/02/2011,PLAZA DE MARIANO DE CAVIA 3,50_LTS_EX
487932,6,Tetuán,https://wikidata.org/entity/Q1773540,63,CASTILLEJOS,OPERATIVO,14/06/2010,CALLE DE ROSARIO PINO 9,50_LTS_EX
488650,9,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,91,CASA DE CAMPO,OPERATIVO,15/06/2010,PASEO DEL PINTOR ROSALES 74,50_LTS_EX
7886679,19,Vicálvaro,https://wikidata.org/entity/Q589403,194,EL CANAVERAL,OPERATIVO,,,50_LTS_EX
7886683,19,Vicálvaro,https://wikidata.org/entity/Q589403,194,EL CANAVERAL,OPERATIVO,,,50_LTS_EX
7886688,19,Vicálvaro,https://wikidata.org/entity/Q589403,194,EL CANAVERAL,OPERATIVO,,,50_LTS_EX
493935,2,Arganzuela,https://wikidata.org/entity/Q2000929,23,CHOPERA,OPERATIVO,25/06/2010,CALLE DE JAIME EL CONQUISTADOR 48,50_LTS_EX
495683,3,Retiro,https://wikidata.org/entity/Q2002296,32,ADELFAS,OPERATIVO,30/06/2010,AVENIDA DE LA CIUDAD DE BARCELONA 200,50_LTS_EX
7886690,19,Vicálvaro,https://wikidata.org/entity/Q589403,194,EL CANAVERAL,OPERATIVO,,,50_LTS_EX
499106,3,Retiro,https://wikidata.org/entity/Q2002296,34,IBIZA,OPERATIVO,07/07/2010,AVENIDA DE MENENDEZ PELAYO 19,50_LTS_EX
499280,4,Salamanca,https://wikidata.org/entity/Q1773521,44,GUINDALERA,OPERATIVO,07/07/2010,CALLE DE AZCONA 9,50_LTS_EX
500543,4,Salamanca,https://wikidata.org/entity/Q1773521,45,LISTA,OPERATIVO,08/07/2010,CALLE DE JOSE ORTEGA Y GASSET 88,50_LTS_EX
501071,11,Carabanchel,https://wikidata.org/entity/Q1001991,116,BUENAVISTA,OPERATIVO,09/07/2010,AVENIDA DEL EURO 11,50_LTS_EX
502023,4,Salamanca,https://wikidata.org/entity/Q1773521,42,GOYA,OPERATIVO,13/07/2010,CALLE DE NARVAEZ 9,50_LTS_EX
