id_local,desc_distrito_local,desc_barrio_local,direccion,id_direccion,Cod_Postal,coordenada_x_local,coordenada_y_local,id_coordenadas,desc_situacion_local,rotulo,desc_periodo_terraza,desc_situacion_terraza,Superficie_ES,Superficie_RA,desc_ubicacion_terraza,hora_ini_LJ_es,hora_fin_LJ_es,hora_ini_LJ_ra,hora_fin_LJ_ra,hora_ini_VS_es,hora_fin_VS_es,hora_ini_VS_ra,hora_fin_VS_ra,mesas_es,mesas_ra
270403150,SALAMANCA,GUINDALERA,2 AVENIDA AMERICA,2-AVENIDA-AMERICA,28028,442586.58,4476524.51,442586.58-4476524.51,Abierto,HONTANARES,Anual,Abierta,"21,06","21,06",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,9,9
270078567,SALAMANCA,GUINDALERA,25 CALLE ALONSO HEREDIA,25-CALLE-ALONSO-HEREDIA,28028,442986.58,4476379.5,442986.58-4476379.5,Abierto,BAR MARISQUERIA LUIS,Anual,Abierta,"11,16","11,16",Calle peatonal,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,4,0
40002808,SALAMANCA,RECOLETOS,14 CALLE AYALA,14-CALLE-AYALA,28001,441656.59,4475470.52,441656.59-4475470.52,Abierto,WAGABOO,Anual,Abierta,"25,48","25,48",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
270495851,SALAMANCA,RECOLETOS,59 CALLE ALCALA,59-CALLE-ALCALA,28014,441350.59,4474585.52,441350.59-4474585.52,Abierto,THE JAMES JOYCE IRISH PUB,Anual,Abierta,"21,04","21,04",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,6,6
180000457,VILLA-DE-VALLECAS,CASCO-H.VALLECAS,5 PLAZA JUAN DE MALASAÑA,5-PLAZA-JUAN-DE-MALASANA,28031,447240.53,4470141.43,447240.53-4470141.43,Abierto,LA CHOZITA,Anual,Abierta,"84,68","64,99",Plaza peatonal,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,27,21
270076142,SALAMANCA,GUINDALERA,225 CALLE ALCALA,225-CALLE-ALCALA,28028,443565.58,4475688.49,443565.58-4475688.49,Abierto,EL NUEVO RINCÓN DE JAÉN,Anual,Abierta,"21,66","21,66",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
270071068,SALAMANCA,GOYA,127 CALLE ALCALA,127-CALLE-ALCALA,28009,442347.58,4474952.51,442347.58-4474952.51,Abierto,VIENA CAPELLANES,Anual,Abierta,"12,43","12,43",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,3,3
180000598,VILLA-DE-VALLECAS,CASCO-H.VALLECAS,7 CALLE PEÑA DE VARGAS,7-CALLE-PENA-DE-VARGAS,28031,447266.53,4469503.43,447266.53-4469503.43,Abierto,EL RINCON DEL TIO PEPE,Anual,Abierta,"34,07","34,07",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,2:30:00,10:00:00,0:00:00,8,8
200000837,SAN-BLAS-CANILLEJAS,SIMANCAS,13 CALLE MIERES,13-CALLE-MIERES,28037,446593.56,4475579.45,446593.56-4475579.45,Abierto,BAR JOSUE,Anual,Abierta,"10,23","10,23",Acera,10:00:00,1:00:00,10:00:00,0:00:00,10:00:00,1:00:00,10:00:00,0:00:00,4,0
280067055,SAN-BLAS-CANILLEJAS,REJAS,6 COLONIA OCCIDENTE,6-COLONIA-OCCIDENTE,28022,449558.56,4477260.41,449558.56-4477260.41,Abierto,RESTAURANTE BAR TORRES,Anual,Abierta,"36,78","36,78",Acera,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,8:00:00,0:00:00,12,12
